Created at 1/26/2008 11:03:47 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
109,1.01586022857837E-03,5.24149094815307E-03,3.00725859172762E-15,3.8052814657564E-07,8.50428358473495E-02,5.67184048634529E-03,3.04220313219132E-04,4.55806979606813E-06,0.097281186421591,0,0,0,0
110,2.81788056737465E-04,9.85930775866169E-03,2.86184148250436E-14,3.16455115834012E-07,8.41964483778726E-02,5.75255519417981E-03,3.10245401790432E-04,4.70116562004901E-06,0.100405362410006,0,0,0,0
111,6.99172165442878E-05,1.70107786708395E-02,2.46545443704705E-13,2.95995056376384E-07,8.33515831941692E-02,5.8309770273739E-03,3.16279038167024E-04,4.8444045256682E-06,0.106584675546923,0,0,0,0
112,1.55173877078813E-05,0.027089115122945,1.92299246135889E-12,2.9682721667597E-07,8.25081608094608E-02,5.90710790957939E-03,3.22321388483124E-04,4.98778912138172E-06,0.115847507236437,0,0,0,0
113,3.08053724932156E-06,4.00965209009578E-02,1.35816757806398E-11,3.04096632723153E-07,0.081666101755892,5.97889354035821E-03,3.28372619103822E-04,5.13132421137118E-06,0.128078404787987,0,0,0,0
114,5.4705443028322E-07,5.55488327803244E-02,8.68775099299838E-11,3.08844600304043E-07,8.08253265810277E-02,6.04525802794765E-03,3.34432896629491E-04,5.27501446056798E-06,0.142759981286298,0,0,0,0
115,8.71427775864609E-08,7.24294373219483E-02,5.03436251317497E-10,3.06366075496247E-07,7.99857558443487E-02,6.10318979859945E-03,3.40502387900193E-04,5.41886411961244E-06,0.158864698229206,0,0,0,0
116,1.42731287212324E-08,8.91380996093748E-02,2.64361146514577E-09,2.94877419109747E-07,7.91473101137481E-02,6.15422873008561E-03,3.46581260000104E-04,5.56287743321043E-06,0.174792094384801,0,0,0,0
117,1.47886156310802E-08,0.103480626883873,1.25844944919332E-08,2.74568606653118E-07,0.078309909962027,6.19653339618203E-03,3.52669680261934E-04,5.70705812038244E-06,0.188345748922181,0,0,0,0
118,8.22894332253709E-08,0.112893031114755,5.43343508343438E-08,2.46940498070957E-07,7.74734759633897E-02,6.22765359155503E-03,3.58767816271364E-04,5.85140988254149E-06,0.196959163460135,0,0,0,0
