Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
91,0.524117038910787,9.9342869688561E-04,6.63215494156903E-05,3.28964715630394E-06,4.20251701338122E-02,5.73309403109567E-04,6.27098073323866E-06,1.02236373463206E-08,0.567784839545536,0,0,0,0
92,0.52277184041637,9.61647832160121E-04,7.6063353274511E-05,3.14061218884099E-06,4.28387912212778E-02,5.89375689011121E-04,6.521250792092E-06,1.14206738462632E-08,0.567247391795749,0,0,0,0
93,0.528016844937755,1.38484341790828E-03,8.44536849872356E-05,2.86938584828671E-06,4.36368197302631E-02,6.05457881510571E-04,6.77285728498452E-06,1.26880556212307E-08,0.573738074583613,0,0,0,0
94,0.554635166051608,2.17149884874439E-03,9.56312635081351E-05,2.56543637478812E-06,4.44192760632065E-02,6.21651901692019E-04,7.02580726343981E-06,1.40332778305521E-08,0.601952829405675,0,0,0,0
95,0.597891987416305,3.2054231903826E-03,1.14660756345083E-04,2.30995661775201E-06,4.51861793820041E-02,6.37958194035689E-04,7.28240954568188E-06,1.54618714704826E-08,0.647045816767108,0,0,0,0
96,0.634598514044776,4.32021702405873E-03,1.44351410614881E-04,2.13672066287194E-06,4.59375476084651E-02,6.54377206305256E-04,7.54360395078456E-06,1.6971052927867E-08,0.685664704589886,0,0,0,0
97,0.636537833102828,5.34440512971821E-03,1.82531017530711E-04,2.02448021443297E-06,4.66652403556162E-02,6.70909389559691E-04,7.81103680223319E-06,1.85452558249943E-08,0.689410773057525,0,0,0,0
98,0.587277560900937,6.21121478471296E-03,2.2175006723108E-04,1.91913457019639E-06,4.73692728268032E-02,6.87555198165207E-04,8.08471561972294E-06,2.01723258635909E-08,0.641777377800365,0,0,0,0
99,0.491397435566207,7.06281404339878E-03,2.52175198538662E-04,1.76823529894704E-06,4.80496587468812E-02,7.04315089807287E-04,8.36349357873992E-06,2.18423878371151E-08,0.547476552216099,0,0,0,0
100,0.371251980684544,8.25077383724764E-03,2.66429084782772E-04,1.54775008218944E-06,4.86763140458948E-02,7.21189525502814E-04,8.64737853609075E-06,2.35479479839843E-08,0.429176905854538,0,0,0,0
101,0.255358766406685,1.01792339985631E-02,2.63628463665975E-04,1.26980063814635E-06,4.92192433865311E-02,7.38402185616202E-04,8.93637850045233E-06,2.52890560031513E-08,0.315769505909256,0,0,0,0
102,0.167152963468984,0.013040804449959,2.50039993109846E-04,9.72392798625532E-07,4.96784513834978E-02,7.56028257822805E-04,9.23156956896628E-06,2.70658310468906E-08,0.230888518581572,0,0,0,0
103,0.120335641523605,1.65921888129517E-02,2.35724414385694E-04,7.00355750067129E-07,5.00539380564155E-02,7.74237930065847E-04,9.53408908284732E-06,2.88752481931981E-08,0.188001994057504,0,0,0,0
104,0.120714929551198,2.01324979329341E-02,2.29042685183436E-04,4.87941129806574E-07,0.050370563509707,7.93031706667673E-04,9.84526244862229E-06,3.07089877346751E-08,0.192250429298256,0,0,0,0
105,0.169868410727884,2.27524301781735E-02,2.32236673654298E-04,3.49653061041742E-07,5.06283200808294E-02,8.1231462960015E-04,1.0166384073479E-05,3.25636867454427E-08,0.244304260890963,0,0,0,0
106,0.266017033867197,2.37608810135059E-02,2.40582224107511E-04,2.80656410561813E-07,5.08365903957718E-02,8.32087235406349E-04,1.04951613517336E-05,3.4433944549607E-08,0.341697984987695,0,0,0,0
107,0.401099851235072,2.30674971218517E-02,2.45398311304224E-04,2.64422807966557E-07,5.09953609028749E-02,8.52350075339307E-04,1.08306710148046E-05,3.63131137671006E-08,0.476271589053379,0,0,0,0
